name	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	total
Afrikaans	0.06437	0.12757	0.04128	0.06644	0.03949	0.10839	0.0	0.21225	0.00442	0.02906	0.07545	0.01197	0.09163	0.0209	0.01029	0.08761	0.00887	49276
Assyrian	0.07064	0.08389	0.03532	0.11258	0.05519	0.03532	0.0	0.16115	0.0	0.04194	0.09492	0.02649	0.1457	0.01104	0.0	0.12583	0.0	453
Akkadian	0.05454	0.07559	0.01728	0.0	0.05454	0.02538	0.0	0.37581	0.00648	0.01836	0.10043	0.13391	0.0	0.01728	0.0	0.10421	0.0162	1852
Amharic	0.01159	0.06803	0.00929	0.04186	0.00989	0.04865	0.00669	0.14845	0.0042	0.08741	0.25465	0.02358	0.10919	0.02138	0.0	0.15514	0.0	10010
Arabic	0.09667	0.13231	0.02453	0.01101	0.06679	0.01192	6e-05	0.30823	0.02256	0.00508	0.05342	0.057	0.09591	0.02136	0.0004	0.07538	0.01737	1042024
Belarusian	0.12555	0.10664	0.02792	0.00578	0.04533	0.01636	0.0	0.29846	0.01501	0.01201	0.03039	0.05388	0.15572	0.01073	0.0021	0.09141	0.0027	13325
Bulgarian	0.08704	0.14151	0.042	0.0585	0.03112	0.01558	0.00018	0.21871	0.01349	0.01388	0.06464	0.05402	0.14126	0.01029	0.0	0.10777	1e-05	156149
Bhojpuri	0.03751	0.14839	0.0048	0.05326	0.02266	0.05296	0.00075	0.27817	0.02236	0.02881	0.05026	0.06287	0.10428	0.0177	0.0	0.11508	0.00015	6665
Bambara	0.00499	0.0748	0.01273	0.0986	0.00477	0.03646	0.0162	0.15518	0.00666	0.05078	0.18173	0.02112	0.14064	0.01324	0.0	0.18165	0.00043	13823
Breton	0.04327	0.10961	0.0547	0.0	0.02049	0.11985	0.0002	0.19793	0.02308	0.05998	0.02397	0.03063	0.11448	0.00388	0.0004	0.18232	0.01522	10054
Buryat	0.08071	0.01777	0.07806	0.01924	0.00815	0.01267	0.00069	0.30476	0.02189	0.01738	0.02828	0.06971	0.18154	0.00206	0.00029	0.1568	0.0	10185
Catalan	0.05654	0.16538	0.02905	0.04202	0.02829	0.13648	3e-05	0.18554	0.01735	0.00028	0.04409	0.08777	0.10047	0.01982	0.00871	0.07817	2e-05	531971
Coptic	0.00044	0.14734	0.04031	0.0592	0.04468	0.12796	0.0	0.1416	0.00509	0.03463	0.16159	0.01109	0.06757	0.03865	0.0	0.11881	0.00103	42818
Czech	0.12752	0.0956	0.05437	0.02854	0.04108	0.03883	0.00011	0.24837	0.02296	0.00698	0.03432	0.04374	0.14402	0.01856	0.00231	0.09209	0.00059	2222163
OldChurchSlavonic	0.09183	0.08122	0.1042	0.03613	0.08544	0.01383	0.00556	0.16729	0.01166	0.0	0.12993	0.02726	0.0	0.02489	0.0	0.22059	0.00017	57563
Welsh	0.06715	0.1348	0.02099	0.05988	0.03027	0.06405	0.0	0.31257	0.01299	0.04425	0.05883	0.03632	0.09557	0.00436	0.00026	0.0577	0.0	30259
Danish	0.06523	0.11661	0.08318	0.0488	0.03357	0.05464	0.00094	0.18589	0.0148	0.01206	0.06751	0.04942	0.13828	0.01777	0.00061	0.10634	0.00436	100733
German	0.07834	0.11252	0.05699	0.04451	0.02851	0.11955	2e-05	0.21123	0.02108	0.01027	0.03859	0.06031	0.118	0.00853	3e-05	0.07709	0.01443	3753947
Greek	0.07755	0.08386	0.04374	0.04759	0.0323	0.18148	0.0	0.21379	0.01545	0.0061	0.0457	0.02855	0.0996	0.01642	5e-05	0.09248	0.01535	63441
English	0.06422	0.09424	0.04908	0.05811	0.03206	0.08818	0.00211	0.17535	0.01591	0.02734	0.08661	0.05324	0.11755	0.01932	0.00173	0.11228	0.00267	648892
Spanish	0.06255	0.16263	0.03108	0.02624	0.02939	0.1372	0.00021	0.18221	0.02012	0.00019	0.04083	0.08291	0.11481	0.02049	0.00215	0.08498	0.002	1004443
Estonian	0.0816	0.0207	0.09957	0.05217	0.03698	0.01637	0.00121	0.25828	0.02068	0.0	0.05521	0.05856	0.16384	0.02083	0.00158	0.111	0.00142	480853
Basque	0.04918	0.01545	0.04264	0.10285	0.05095	0.03355	0.0003	0.24519	0.03798	0.01202	0.00646	0.08126	0.16313	0.0	0.00012	0.15749	0.00142	121443
Persian	0.08942	0.11388	0.02682	0.03557	0.05374	0.02317	0.00045	0.37652	0.02229	0.01681	0.03797	0.0	0.0879	0.03374	0.0	0.08005	0.00166	152920
Finnish	0.06856	0.01595	0.07073	0.06381	0.03625	0.01088	0.00146	0.25882	0.02018	0.01505	0.06697	0.05403	0.14435	0.0222	0.00137	0.14783	0.00155	377619
Faroese	0.07598	0.12368	0.04149	0.0	0.02969	0.0186	0.0001	0.24965	0.0239	0.0079	0.02919	0.08048	0.15637	0.0048	0.0	0.15397	0.0042	10002
French	0.06153	0.15846	0.04091	0.02902	0.02279	0.15049	0.0017	0.19621	0.02704	0.00067	0.04626	0.05087	0.1167	0.00926	0.00067	0.0833	0.00415	1157170
OldFrench	0.03781	0.09569	0.11845	0.0451	0.05917	0.09765	0.00077	0.15399	0.00426	0.0	0.14601	0.03246	0.0	0.03423	0.0	0.17441	0.0	170740
Irish	0.04956	0.15799	0.02057	0.01552	0.03027	0.08862	0.0004	0.25162	0.01546	0.06601	0.03874	0.05644	0.10809	0.01728	6e-05	0.08072	0.00264	64745
Gaelic	0.04054	0.13842	0.04491	0.01216	0.03542	0.0718	0.00463	0.2228	0.01435	0.09739	0.06164	0.04801	0.09253	0.01093	7e-05	0.10006	0.00433	42993
Galician	0.07999	0.1642	0.02761	0.01307	0.0304	0.17048	9e-05	0.22183	0.01595	0.00419	0.04431	0.02117	0.09643	0.01321	0.00359	0.09343	5e-05	164385
Gothic	0.08638	0.08803	0.09291	0.02774	0.09213	0.04469	0.00389	0.185	0.00723	0.0	0.1059	0.03294	0.0	0.03018	0.0	0.20265	0.00034	55336
