name	treeHeight	total
Abaza	3.77551	3.77551
Afrikaans	9.20527	9.20527
Assyrian	3.78947	3.78947
SouthLevantineArabic	4.07	4.07
Akkadian	5.58532	5.58532
Gheg	5.7412	5.7412
Amharic	4.44413	4.44413
Apurinã	3.15038	3.15038
Akuntsu	2.50809	2.50809
Arabic	10.30353	10.30353
Karo	2.58605	2.58605
Belarusian	4.8979	4.8979
Beja	6.60714	6.60714
Bulgarian	5.94011	5.94011
Bhojpuri	6.89636	6.89636
Bambara	5.37719	5.37719
Bengali	2.78571	2.78571
Breton	5.27365	5.27365
Buryat	4.52104	4.52104
Catalan	9.34824	9.34824
Cebuano	3.64894	3.64894
Chukot	2.84263	2.84263
Coptic	8.61396	8.61396
Czech	6.24978	6.24978
OldChurchSlavonic	4.06942	4.06942
Welsh	8.08006	8.08006
Danish	6.70446	6.70446
German	6.25769	6.25769
Greek	7.84014	7.84014
Emerillon	2.19432	2.19432
English	6.2002	6.2002
Spanish	8.7373	8.7373
Yupik	3.3301	3.3301
Estonian	5.03873	5.03873
Basque	5.20727	5.20727
Persian	6.99655	6.99655
Finnish	4.63262	4.63262
Faroese	6.27678	6.27678
French	7.56113	7.56113
OldFrench	4.58539	4.58539
Irish	7.43183	7.43183
Gaelic	6.99051	6.99051
Galician	10.42399	10.42399
Guarani	2.57627	2.57627
Gothic	4.53546	4.53546
AncientGreek	4.77825	4.77825
SwissGerman	5.8	5.8
Guajajára	3.19543	3.19543
MbyáGuaraní	4.45892	4.45892
Manx	4.24572	4.24572
AncientHebrew	7.27042	7.27042
Hebrew	8.34545	8.34545
Hindi	8.28588	8.28588
Hittite	4.16912	4.16912
Croatian	7.57802	7.57802
UpperSorbian	6.10062	6.10062
Hungarian	6.22056	6.22056
Armenian	6.4125	6.4125
WesternArmenian	6.20403	6.20403
Indonesian	7.34059	7.34059
Icelandic	7.27883	7.27883
Italian	7.5274	7.5274
Japanese	8.23547	8.23547
Jamamadí	2.85	2.85
Javanese	6.248	6.248
Khunsari	3.8	3.8
Kazakh	4.34323	4.34323
Kurmanji	5.50531	5.50531
Korean	5.38274	5.38274
Komi-Permyak	3.61404	3.61404
Komi	4.3626	4.3626
Karelian	5.07456	5.07456
Latin	5.65895	5.65895
Ligurian	6.51266	6.51266
Lithuanian	6.35493	6.35493
Latvian	5.74698	5.74698
ClassicalChinese	3.12343	3.12343
Moksha	3.89431	3.89431
Malayalam	3.4	3.4
Makuráp	2.78378	2.78378
Marathi	3.83262	3.83262
Maltese	7.81533	7.81533
Mundurukú	3.25949	3.25949
Erzya	3.81947	3.81947
Neapolitan	4.0	4.0
LowGerman	7.32632	7.32632
Nahuatl	4.51375	4.51375
Dutch	5.5933	5.5933
Norwegian	6.20817	6.20817
Nayini	3.9	3.9
Livvi	4.864	4.864
OldEastSlavic	4.22366	4.22366
OldTurkish	4.45	4.45
Naija	5.40909	5.40909
Polish	5.03792	5.03792
Portuguese	8.29672	8.29672
FrisianDutch	4.615	4.615
HindiEnglish	6.1059	6.1059
Pomak	5.4285	5.4285
TurkishGerman	4.98535	4.98535
K'iche'	3.70941	3.70941
Romanian	7.24345	7.24345
Russian	5.81993	5.81993
Sanskrit	3.65649	3.65649
Yakut	2.91349	2.91349
Zaar	4.22032	4.22032
Sinhalese	4.02	4.02
Xibe	5.64444	5.64444
Slovak	4.41786	4.41786
Slovenian	6.3361	6.3361
NorthSami	3.78924	3.78924
SkoltSami	4.50833	4.50833
Soi	3.375	3.375
Albanian	6.61667	6.61667
Serbian	7.89416	7.89416
Swedish	6.26139	6.26139
SwedishSign	4.34483	4.34483
Tamil	4.81129	4.81129
Telugu	2.64458	2.64458
Thai	8.283	8.283
Tagalog	4.24324	4.24324
Tupinambá	3.4148	3.4148
Turkish	4.08315	4.08315
Tatar	5.50676	5.50676
Uyghur	4.48409	4.48409
Ukrainian	5.80852	5.80852
Urdu	9.02417	9.02417
UrubúKaapor	2.54217	2.54217
Vietnamese	5.41833	5.41833
Warlpiri	2.96364	2.96364
Wolof	7.79402	7.79402
Xavánte	2.65	2.65
Kangri	4.65278	4.65278
Umbrian	3.20301	3.20301
Yoruba	8.51258	8.51258
Nhengatu	4.28571	4.28571
Cantonese	4.45817	4.45817
Chinese	6.75472	6.75472
